shopName,shopAddress,shopPhone,licencePics
肯德基宅急送（吉大店）,珠海市吉大景山路免税商场一楼218号,['4009208801'],"['http://p0.meituan.net/waimaipoi/b098616695363659b6d91d49b5e8279628772.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/89cf23a5fe07c4a9eff8c22230f87477595159.jpg@900w_600h_1e_1c']"
珠海麦当劳珠海百货餐厅,珠海市吉大景山路222号珠海百货广场,['4000517117'],"['http://p1.meituan.net/waimaipoi/5ffc5f3c25335aed11ea84ed673bdfa4180411.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/173b6ac635ccf66f32350f40055a19db230450.jpg@900w_600h_1e_1c']"
大家乐(珠海钰海店),珠海市九洲大道中1009号钰海环球金融中心负一层-103号、-104号、-118号之一、-119号之一号铺,['02022375323'],"['http://p1.meituan.net/waimaipoi/8c4fe18cbd4dee7f8534898460a4f03f112231.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/0ac04af9f88b4cfa93cf7c62bbf76042231213.jpg@900w_600h_1e_1c']"
汉堡王（19480珠海吉大书城19480）,珠海市景乐路36号珠海市吉大书城内一、二层商铺,['4008988788'],"['http://p1.meituan.net/xianfu/e90c66457e15255ecc7e3e3e259df436104176.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/1da645917c09390e3af47f75db85aada112110.jpg@900w_600h_1e_1c']"
剁椒湘菜馆（景乐路店）,吉大景林街8号首层A-C轴,['15919187188'],"['http://p1.meituan.net/xianfu/d307dcccdc82a034e50c6194bfcd12aa125512.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/6e9335e53ab5259d2d28abd4c86ff27f186136.jpg@900w_600h_1e_1c']"
天香园（吉大店）,吉大石花东路42号,"['07563370790', '07563358786']","['http://p1.meituan.net/xianfu/8e130e4b621d715f7e189cfeeab62ae5128481.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/27aad713fbd8b26311740f8cf54b4476129012.jpg@900w_600h_1e_1c']"
天与地餐厅（吉大店）,珠海市吉大白莲路140号,['0756-3333616'],"['http://p1.meituan.net/xianfu/f6eaf441c471f978ac29c2679a274b3b129466.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/5fa6b633ec06e5e008215adf8c585ab8155822.jpg@900w_600h_1e_1c']"
鼎兴源长沙米粉（园林店）,珠海市香洲区吉大园林路128号东楼101,['13703001102'],"['http://p0.meituan.net/waimaipoi/6dd17252d982a54229a4e28eaa57fd46387863.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/65425a1e7bac7535f9d240b01d13e5b6264139.jpg@900w_600h_1e_1c']"
必胜客宅急送（吉大免税店）,广东省珠海市香洲区吉大景山路国营外币免税商场首层,['4009208809'],"['http://p1.meituan.net/waimaipoi/bff359974fe8f978517478fa60fb2dea221693.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/805d13b85884006f9e50e53996f7423f184798.jpg@900w_600h_1e_1c']"
东北人(吉大店),珠海九洲大道中段1023号新恒安酒店,"['07563351418', '07563351488']","['http://p1.meituan.net/xianfu/9e4cadc29222e941b221ec1699bbb879729411.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/9e4cadc29222e941b221ec1699bbb879729411.jpg@900w_600h_1e_1c']"
头号粥铺（吉大店）,珠海市香洲区吉大景园路九号110B-3卡,"['13360777219', '13113435606']","['http://p1.meituan.net/waimaipoi/4f8c48587c1cad24e93eac7b66e22cad187162.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/392e7c11c56a978d8e6d581b8e3a31a6138556.jpg@900w_600h_1e_1c']"
马来一号（吉大店）,吉大景乐路51号之B7,['18902878582'],"['http://p0.meituan.net/xianfu/8b6a1cfe3e774ebd19cf2a634b8d796c161021.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/c279f7aacf895c8c23e0014cb3331601167016.jpg@900w_600h_1e_1c']"
粥大师·熬足8小时（吉大店）,珠海市吉大景乐路51号之B9商铺,['13318489960'],"['http://p1.meituan.net/waimaipoi/9ebc0e62c6097722209605b6a7da862a62923.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/5b7ff098de707af223ec2444fa3bd0c3184583.jpg@900w_600h_1e_1c']"
保记咖喱美食堂茶餐厅,珠海市吉大九洲大道中1067号,['07563330066'],"['http://p1.meituan.net/xianfu/c9816dd21684f23f1b46b6d34bb4caef211403.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/7040cfc7fdb89af824bf0862818fbdfb181930.jpg@900w_600h_1e_1c']"
Mrs.Sushi创意寿司,吉大九洲大道中1138号商铺,"['07563344519', '13392539728']","['http://p1.meituan.net/xianfu/260f7770ee8bd806a1f158ac5ae7efc790932.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/491b4d9827c61c1a84804b57e03f3ab3157911.jpg@900w_600h_1e_1c']"
No.1猪扒包（吉大店）,珠海市吉大白莲路113号95栋102,['13631237018'],"['http://p1.meituan.net/xianfu/6108005d7d0cbd2ba414098f41fa627f115093.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/7c950790b7e3d0f0e2469d584f6828ab226816.jpg@900w_600h_1e_1c']"
