shopName,shopAddress,shopPhone,licencePics,poiQualificationInfoUrl,poiQualificationInfo
麻辣虾说(烧烤),陕西省延安市宝塔区桥沟街道办事处尹家沟村农贸市场20号门面房,['17719731164'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1082397363236127
重庆傻儿鱼（烧烤）,陕西省延安市宝塔区枣园办枣园五号小区10号楼五单元102室,['13891196302'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1120476543257721
串宅原二期客串沾沾,枣园办莫家湾枣园小学对面,['15191161119'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=969147665548943
醉鸭聚,陕西省延安市宝塔区红化B区7号楼C01号商用房,['18091155715'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1046933818271815
关中面管(酸菜鱼，焖肉米饭),陕西省延安市宝塔区新城管委会新城小吃城53号,['13892121366'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1097554302838478
喜洋洋火锅外卖【延安店】,百米大道东苑小区16号,['13279117133'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1033726793867900
暴躁熊猫火锅外卖（延安店）,陕西省延安市宝塔区北桥沟农贸市场一层22号,['13891123963'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=909125497622733
滋美乐蛋糕,文化沟路聋哑学校对面,['18516417710'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=939070009616257
独角兽蛋糕店,光华路丰泽园2号楼,['15891517189'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1110018297945213
川味川盖浇饭,陕西省延安市宝塔区宝塔区杨家岭怡苑二期院内门面房,"['18292126686', '18220149453']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=879567532696142
靖边排骨烩菜（延大店）,河庄坪镇石圪塔村,"['18220149453', '18292126686']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=985979642421750
味好美龙虾盖浇饭,陕西省延安市宝塔区百米大道圣凯龙家居城一层M02号,"['18091136797', '13038575777', '13488252253']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1105955258870588
幸福西饼蛋糕（延安店）,陕西省延安市宝塔区黄嵩洼鑫鑫家园9号楼A栋二层,['0911-2885666'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=991326876672355
华莱士炸鸡汉堡（燕沟店）,陕西省延安市宝塔区柳林镇燕沟燕翔苑6-7号门面,['0911-2214101'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=960428881959985
烤肉拌饭,陕西省延安市宝塔区七里铺国胜花园A座120商铺,['13488255534'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1043880096553326
延长烤肉王平价川菜,柳林镇丽景花苑8号楼（丽景花苑转盘）,"['09118210333', '18691197335', '18691191335']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1019192624537579
麻辣达人冒菜麻辣串,陕西省延安市宝塔区七里铺国胜花园B27号商铺,['15691190005'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=916306682959606
凸凸擀面皮,陕西省延安市宝塔区七里铺三中第14间门面房,['13809114331'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=921499298381937
巷儿鱼重庆巫山纸包鱼,陕西省延安市宝塔区南桥白坪商务大厦美食广场6号铺,['18729814660'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1038769085459362
第一基大鸡排,陕西省延安市宝塔区三中门面房,['18709111733'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=901373081643285
网红阿龙功夫煮骨汤麻辣烫,陕西省延安市宝塔区柳林镇七里铺七一大厦,['18991785022'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=985966757512062
清涧烩菜粉汤烙饼,陕西省延安市宝塔区七里铺国胜花园A座104铺,['09112607327'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1101991004023699
十二月雅苑餐厅,陕西省延安市宝塔区诚合大厦1楼商铺115号（不含地下室）,['0911-7772345'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1018569854272379
老成都川菜（二庄科店）,二庄科百家苑小区3号楼一层11号门面房,['17784433603'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1125033503612158
