shopName,shopAddress,shopPhone,licencePics,poiQualificationInfoUrl,poiQualificationInfo
一家人水果,吴航街道团结小区10幢4号店面,['18960866861'],"['http://p1.meituan.net/xianfu/9ead3cb38bc079742aa4563eeda59a8c113430.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/ab6d8933e3a7d38acdae2c118427a48293220.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1078579137318461
9班烤场(烧烤•冰饭),会堂路332号,['15005953767'],"['http://p0.meituan.net/waimaipoi/ea2e55e97896c3022e454fc494b9d739132154.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/c8294b6e33e41dde5d41878a0362b5e1222657.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1032283684835824
蒸鸡先生,福建省福州市长乐区吴航街道华达花园1幢110号、111号,['15960190321'],"['http://p1.meituan.net/waimaipoi/41e9b5f352c589d1271c9401febf847a104453.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/5f520c15fb586d295f7b74ef360a2d7a195561.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1089011612864063
芝根芝底（长乐会堂店）,福建省福州市长乐市航城街道航建小区15号店面,"['059128801297', '18659157594']","['http://p1.meituan.net/xianfu/3ea27a09cbee4679b1bf84ac7b3b5e4f338898.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/xianfu/70ddccf553d94b398c2fbc96a3318661417765.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=921258780225479
玛格利塔现烤披萨（吴航店）,福建省长乐市会堂路188号吴航永辉一层店面,['0591-28791779'],"['http://p1.meituan.net/xianfu/7941f30200d38c87248f4a700425ed00164485.jpg@900w_600h_1e_1c', 'http://p1.meituan.net/waimaipoi/7ee96d9e1d41a60d82d9ffd91de1a7c9371816.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=853595865438073
百脆鱼庄（长乐店）,西洋北路75号,['15359730675'],"['http://p0.meituan.net/waimaipoi/b0b73f78aaf0751bdd2cdc692ce48fac156073.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/68a24db2ffde35c5bb509855e6d0b3da190696.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=944000632062063
三只鱼石锅鱼餐馆,航城街道罗马花园40#楼46-47号店,['18860137675'],"['http://p1.meituan.net/xianfu/998f6f6c284861b69d1c5848f0f7b704132885.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/20e9d4f9f6d123dad9049198b5719761141899.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1050550180765782
1點點（长乐1中店）,福州市长乐市培青路13号,['059128888733'],"['http://p1.meituan.net/xianfu/55453422301de407021ea72960a022ba117430.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/43dd16052231b32d87dabfb9b08b28a0272979.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=980821386700331
林氏味绝（长乐店）,长乐区吴航街道十洋村奎桥新村（地号：（45）－68）,['18759100260'],"['http://p0.meituan.net/xianfu/420973490c02cf24bf34db2a8ea37f22131829.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/ac079e9abac187a2608433cdb1aad5d8145197.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1118152965956331
饭冰冰冰饭,福建省福州市长乐市吴航镇航辉花园郑和路6号店,"['18650793532', '15880422284']","['http://p1.meituan.net/xianfu/c10042f352aca1bac3da5e9e102d8b0189912.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/waimaipoi/1d989fd83dada3e77f431028bc8af62f222364.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=932206651848008
