shopName,shopAddress,shopPhone,licencePics,poiQualificationInfoUrl,poiQualificationInfo
上林果语,丹阳市界牌镇界牌路128号,['15358618999'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1120781485991304
百姓大食堂,界牌镇富民西路168号（界牌镇富民西路）,"['18852821878', '15267087369']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=977355348099836
烧烤地带（龙虾烤鱼羊排水饺）,界牌镇灯城大街206（灯城大街）,['13615294653'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=883523197540763
永和美食城（界牌店）,界牌镇灯城大街路口（灯城大街）,"['18913425377', '051186370777']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=945778748508999
沙县小吃（旭日路店）,丹阳市界牌镇旭日路45号,['15105047140'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1048059099710308
麻辣香锅（界牌店）,丹阳市界牌镇永盛路173号,['13451957801'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1012011439207686
好品味大食堂,丹阳市界牌路与中心路交叉口东北角,['051186379977'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1028061731975356
百基拉炸鸡·汉堡（界牌店）,镇江市丹阳市界牌镇旭日路53号,"['051180234565', '15205292281']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1013179670295685
蜀味阁过桥米线（黄焖鸡米饭）,旭日路与永盛路交叉口西北50米,['15715293131'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=956043720381688
盱眙龙虾,优山美地143-2,['13655294353'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1108201526787831
大拇指.动物奶油,申港街道人民北路4号,['18961474570'],"['http://p1.meituan.net/xianfu/e4e125b7a9f93ba19205196dea75451b111696.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/d98768ce05c87404672d19190bb550df101015.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=929870189646255
盱眙龙虾,优山美地143-2,['13655294353'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1108201526787831
大拇指.动物奶油,申港街道人民北路4号,['18961474570'],"['http://p1.meituan.net/xianfu/e4e125b7a9f93ba19205196dea75451b111696.jpg@900w_600h_1e_1c', 'http://p0.meituan.net/xianfu/d98768ce05c87404672d19190bb550df101015.jpg@900w_600h_1e_1c']",,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=929870189646255
一品轩,皮革城城光大酒店1楼,['17768678152'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=968056743919526
百基拉炸鸡•汉堡（大泊店）,丹阳市开发区大泊镇南路126号,['0511-86221317'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=948682146413699
领头羊烧烤（开发区店）,丹阳市开发区玉泉路116号,['18260600528'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1114682632411049
柚子家果品,开发区金凤凰花园1栋11室（金凤凰花园迎春路南150米）,['13913426570'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=853698944676127
华莱士（炸鸡汉堡北苑店),开发区紫荆花园17-13,"['0511-86885770', '18905289031']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=884304881634560
友好龙虾,丹阳市开发区曲阿路迎宾综合楼107号,['15952841221'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1024196261432873
怪味香龙虾馆,北苑路天禄路258号,['13965571464'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=847505601829699
正宗淮南牛肉汤,开发区大泊镇南路95号,['18656549066'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1072351434724223
酸菜鱼馆,丹阳市开发区百花新村10号楼,['13222606065'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1060763612992948
艺小年油炸串串,新欣市场丹阳市开发区商业街D街12号,['13626268575'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=907742518136008
叫了只鸡（吾悦店）,丹阳市开发区吾悦广场第吾大道S2-109,['18168600534'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=875586097972502
曼可基（大泊镇店）,丹阳市开发区大泊镇西路1号,"['051186229877', '18913417057', '13775128445']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=979794889501475
华莱士（炸鸡汉堡吾悦店）,吾悦广场金街3号门旁,['18952831978'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=975469857440684
珍奶会所（大泊店）,镇江市丹阳市开发区大泊镇北京新世纪联华超市旁边,['13196855598'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1039799877605790
吃货炸串,开发区镇东路（建国浴室旁）,['18118972652'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=860098445927791
花甲联盟·烧烤,丹阳市开发区玉泉小区11幢13号,['13912848719'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=907149812678541
前艾羊庄龙虾,丹阳开发区商业街D街31-32号,['13606107057'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=986009707172404
三好龙虾馆,云阳镇全福禄82弄20号,"['13511683771', '13968792259']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1025544881119516
东北烧烤,丹阳市双井巷（中国人寿向内50米）,['15205293535'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1000990553123326
华莱士（炸鸡汉堡新民中路店）,"江苏省镇江丹阳市新民中路蓝凌大厦第2间,中国人寿对面",['0511-86528080'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=845087535260309
肯德基宅急送（丹凤店）,丹阳市南环路欧尚超市北侧一层,['4009208801'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=963542733247758
1点点（金鹰店）,江苏省丹阳市云阳镇新民东路99号丹阳金鹰天地广场03幢01层0108商铺,['0511-86581163'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1024088887231063
镇江麦当劳丹阳金鹰餐厅,丹阳市新民东路99号丹阳金鹰天地广场北区16号一楼A29室商铺,['4000517117'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1053457873568776
合泰园包子（省丹中店）,丹阳市云阳镇画院路51号,['18015252889'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1124565352144600
珍奶会所（不夜城店）,丹阳市云阳镇不夜城F座6,['18021577993'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1084123940072573
怕辣吗（丹阳店）,云阳镇双井巷南草巷7号（云阳镇双井巷南草巷）,['18206101621'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=877231070510854
疯狂烤翅（华阳路）,丹阳市华阳综合楼12号门面,"['13775333159', '13912829877']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1116950375147914
%百分茶（白云街店）,镇江丹阳市城河路白云街6-9号,['18168680131'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=860854360204655
华莱士（炸鸡汉堡华阳店）,华阳路108号（丹阳三中北斜对面）,"['0511-86551707', '17715978550']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=896274955460447
一品轩,皮革城城光大酒店1楼,['17768678152'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=968056743919526
粥宫壹号（丹阳店）,丹阳市云阳镇江南嘉园11幢-5室门市,['15050881237'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=949764478186908
淘米米,华南路华南新村26栋105室（小贡摩配对面）,['18168606645'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=971789070494910
四川烧烤,云阳镇张家村8号,['18762095550'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1033331656842428
贵州怪噜味炒饭炸土豆专卖,云阳镇全家福市场37号门面,['15862962060'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1059226014699118
INCHA印茶（丹阳八佰伴店）,丹阳市云阳镇白云街6号F-10门市,"['17315756285', '18362005977']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=918892253240392
滋滋油炸小吃店,云阳镇城河路232-2号,"['13606106118', '15189158868']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=961511213708239
肯德基宅急送（吾悦店）,丹阳市金陵西路88号丹阳吾悦广场一层,['4009208801'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=936557453757595
三好龙虾馆,云阳镇全福禄82弄20号,"['13511683771', '13968792259']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1025544881119516
一品轩,皮革城城光大酒店1楼,['17768678152'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=968056743919526
领头羊烧烤（开发区店）,丹阳市开发区玉泉路116号,['18260600528'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1114682632411049
柚子家果品,开发区金凤凰花园1栋11室（金凤凰花园迎春路南150米）,['13913426570'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=853698944676127
华莱士（炸鸡汉堡吾悦店）,吾悦广场金街3号门旁,['18952831978'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=975469857440684
友好龙虾,丹阳市开发区曲阿路迎宾综合楼107号,['15952841221'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1024196261432873
酸菜鱼馆,丹阳市开发区百花新村10号楼,['13222606065'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1060763612992948
百基拉炸鸡•汉堡（大泊店）,丹阳市开发区大泊镇南路126号,['0511-86221317'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=948682146413699
艺小年油炸串串,新欣市场丹阳市开发区商业街D街12号,['13626268575'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=907742518136008
四川烧烤,云阳镇张家村8号,['18762095550'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1033331656842428
叫了只鸡（吾悦店）,丹阳市开发区吾悦广场第吾大道S2-109,['18168600534'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=875586097972502
怪味香龙虾馆,北苑路天禄路258号,['13965571464'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=847505601829699
华莱士（炸鸡汉堡北苑店),开发区紫荆花园17-13,"['0511-86885770', '18905289031']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=884304881634560
前艾羊庄龙虾,丹阳开发区商业街D街31-32号,['13606107057'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=986009707172404
上林果语果品城市店(火车站店),开发区丽苑大厦14-15号,['13338815766'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1119759283759248
花甲联盟·烧烤,丹阳市开发区玉泉小区11幢13号,['13912848719'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=907149812678541
三好龙虾馆,云阳镇全福禄82弄20号,"['13511683771', '13968792259']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1025544881119516
肯德基宅急送（丹凤店）,丹阳市南环路欧尚超市北侧一层,['4009208801'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=963542733247758
华莱士（炸鸡汉堡新民中路店）,"江苏省镇江丹阳市新民中路蓝凌大厦第2间,中国人寿对面",['0511-86528080'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=845087535260309
1点点（金鹰店）,江苏省丹阳市云阳镇新民东路99号丹阳金鹰天地广场03幢01层0108商铺,['0511-86581163'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1024088887231063
东北烧烤,丹阳市双井巷（中国人寿向内50米）,['15205293535'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1000990553123326
四川烧烤,云阳镇张家村8号,['18762095550'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1033331656842428
镇江麦当劳丹阳金鹰餐厅,丹阳市新民东路99号丹阳金鹰天地广场北区16号一楼A29室商铺,['4000517117'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1053457873568776
珍奶会所（不夜城店）,丹阳市云阳镇不夜城F座6,['18021577993'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1084123940072573
淮南牛肉汤（全福路店）,云阳镇全福路146号第二间门市房,['13399602510'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=925918819736354
一品轩,皮革城城光大酒店1楼,['17768678152'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=968056743919526
华莱士（炸鸡汉堡丹金店）,云阳镇丹金路7-15号,"['0511-86733297', '13511698951']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1004851728737911
%百分茶（白云街店）,镇江丹阳市城河路白云街6-9号,['18168680131'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=860854360204655
疯狂烤翅（华阳路）,丹阳市华阳综合楼12号门面,"['13775333159', '13912829877']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1116950375147914
粥宫壹号（丹阳店）,丹阳市云阳镇江南嘉园11幢-5室门市,['15050881237'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=949764478186908
小四川鸭血粉丝,丹阳市新市口时尚莱迪旁,['051186561989'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1109915218686457
张姐烤肉拌饭,镇江市丹阳市全福北路51号,"['18552451568', '13952827654']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=888436640170286
陈氏麻辣烫（凉皮~脆皮馄饨）,镇江市丹阳市云阳镇全福南路44号,"['13775333382', '18912812132']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1105525762139369
三好龙虾馆,云阳镇全福禄82弄20号,"['13511683771', '13968792259']",[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1025544881119516
肯德基宅急送（丹凤店）,丹阳市南环路欧尚超市北侧一层,['4009208801'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=963542733247758
华莱士（炸鸡汉堡新民中路店）,"江苏省镇江丹阳市新民中路蓝凌大厦第2间,中国人寿对面",['0511-86528080'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=845087535260309
四川烧烤,云阳镇张家村8号,['18762095550'],[],,http://i.waimai.meituan.com/node/legacy/poi-qualification?wm_poi_id=1033331656842428
